
= Stats =

{| class=&quot;wikitable sortable&quot; border=&quot;1&quot;
|-
! scope=&quot;col&quot; | Creature
! scope=&quot;col&quot; | Strength
! scope=&quot;col&quot; | Dexterity
! scope=&quot;col&quot; | Speed
! scope=&quot;col&quot; | Salary
! scope=&quot;col&quot; | Unarmed&lt;br&gt;Damage
! scope=&quot;col&quot; | CanEquip
! scope=&quot;col&quot; | Weight
! scope=&quot;col&quot; | Size
! scope=&quot;col&quot; | [[Attraction|Immigrant&lt;br&gt;Frequency]]
|-
| [[Keeper]]
| 15
| 15
| 100
| -
| 5
| YES
| 90
| LARGE
| -
|-
| [[Imp]]
| 8
| 15
| 200
| -
| 3
| NO
| 30
| SMALL
| -
|-
| [[Goblin]]
| 12
| 13
| 80
| 10
| 3
| NO
| 45
| MEDIUM
| 1.0

|-
| [[Orc]]
| 16
| 14
| 100
| 20
| 3
| YES
| 100
| LARGE
| 0.7

|-
| [[Orc Shaman]]
| 13
| 11
| 100
| 20
| 3
| YES
| 100
| LARGE
| 0.15
|-
| [[Ogre]]
| 20
| 17
| 80
| 40
| 6
| YES
| 140
| LARGE
| 0.3
|-
| [[Harpy]]
| 13
| 16
| 120
| 40
| 3
| YES
| 70
| LARGE
| 0.3
|-
| [[Zombie]]
| 14
| 13
| 60
| 10
| 13
| YES
| 100
| LARGE
| 0.5
|-
| [[Vampire]]
| 17
| 17
| 100
| 40
| 2
| YES
| 70
| LARGE
| 0.3
|-
| [[Ghost]]
| 5
| 35
| 80
| -
| 3
| YES
| 10
| LARGE
| 0.3
|-
| [[Succubus]]
| 5
| 15
| 80
| -
| 3
| NO
| 10
| LARGE
| 0.3
|-
| [[Doppleganger|Doppelganger]]
| 14
| 15
| 80
| -
| 3
| ?
| 10
| LARGE
| 0.2
|-
| [[Raven]]
| 2
| 12
| 250
| -
| 0
| NO
| 0.5
| SMALL
| 1.0
|-
| [[Bat]]
| 3
| 16
| 150
| -
| 2
| NO
| 0.5
| SMALL
| 1.0

|-
| [[Wolf]]
| 18
| 17
| 160
| -
| 12
| NO
| 35
| MEDIUM
| 0.15
|-
| [[Cave Bear]]
| 23
| 18
| 120
| -
| 11
| NO
| 250
| MEDIUM
| 0.1
|-
| [[Werewolf]]
| 18
| 17
| 100
| -
| 12
| YES
| 0.5
| LARGE
| 0.1
|-
| [[Special Humanoid]]
| 20-26
| 20-26
| 70-150
| 40
| 5-15
| YES
| 5-120
| S / M / L
| 0.2
|}

== Level ==

A Creatures level is max[1.0, 10 * ((STRENGTH / 12) - 1) + 10 * ((DEXTERITY / 12) - 1)]
Decimal places are not displayed.
